SLA,total_orders,avg_travel_time,avg_cost,cost_per_km
2HR(24X7),6,195.3491271820449,,
4HR(24X7),988,195.3491271820449,57672.18543046358,1125.102555223824
4HR(8X5),11,195.3491271820449,31600.0,1479.863396407514
6HR(24X7),5,195.3491271820449,170000.0,967.08082490073
BADXPOWWUD,1,195.3491271820449,,
CAR,67,195.3491271820449,,
CUW,6,195.3491271820449,,
DSPPOW,12,195.3491271820449,,
EMC,10,195.3491271820449,,
INCCCAR,2,195.3491271820449,,
INCCNBD,61,195.3491271820449,,
INCCPOW,2,195.3491271820449,,
LENOVO,6,195.3491271820449,,
Lenovo,6,195.3491271820449,,
MPFRPOW,192,195.3491271820449,,
MPFRPOW ,1,195.3491271820449,25000.0,1470.5882352941176
NBD,1760,195.3491271820449,,
OWCN,469,195.3491271820449,,
OWPCN,133,195.3491271820449,42500.0,908.0188679245283
PFRNBD,4,195.3491271820449,,
PFRPOW,7,195.3491271820449,,
PO2(24X7),27,195.3491271820449,39705.882352941175,1087.408518034191
PO4,12,195.3491271820449,40000.0,993.079539508111
PO4(24X7),564,195.3491271820449,42672.661870503594,1155.81778366895
PO4(8X5),12,195.3491271820449,37777.77777777778,863.0702468421766
POW,362,195.3491271820449,46666.666666666664,837.8107022685335
POWDOSD,3,195.3491271820449,,
POWO,29,195.3491271820449,,
POWOCN,67,195.3491271820449,30961.53846153846,1146.7236467236467
POWOCN(P),6,195.3491271820449,,
POWWUD,393,195.3491271820449,,
WEWORK,1,195.3491271820449,,
WIS,58,195.3491271820449,,
WUD,4,195.3491271820449,,
