OrderHour,SLA,sla_count,total_orders,sla_ratio,avg_cost,Vehicle,vehicle_count,avg_travel_time,vehicle_ratio
0,2HR(24X7),6,1699,0.003531489,,labor,5,195.3491272,0.833333333
0,2HR(24X7),6,1699,0.003531489,,truck,1,195.3491272,0.166666667
0,4HR(24X7),988,1699,0.58151854,57672.18543,labor,470,195.3491272,0.475708502
0,4HR(24X7),988,1699,0.58151854,57672.18543,motor,232,195.3491272,0.234817814
0,4HR(24X7),988,1699,0.58151854,57672.18543,truck,286,195.3491272,0.289473684
0,4HR(8X5),11,1699,0.006474397,31600,labor,7,195.3491272,0.636363636
0,4HR(8X5),11,1699,0.006474397,31600,motor,3,195.3491272,0.272727273
0,4HR(8X5),11,1699,0.006474397,31600,truck,1,195.3491272,0.090909091
0,6HR(24X7),5,1699,0.002942908,170000,labor,2,195.3491272,0.4
0,6HR(24X7),5,1699,0.002942908,170000,truck,3,195.3491272,0.6
0,EMC,10,1699,0.005885815,,labor,10,195.3491272,1
0,LENOVO,6,1699,0.003531489,,labor,6,195.3491272,1
0,Lenovo,6,1699,0.003531489,,labor,5,195.3491272,0.833333333
0,Lenovo,6,1699,0.003531489,,motor,1,195.3491272,0.166666667
0,MPFRPOW ,1,1699,0.000588582,25000,motor,1,195.3491272,1
0,NBD,2,1699,0.001177163,,labor,2,195.3491272,0.001136364
0,NBD,2,1699,0.001177163,,truck,1758,195.3491272,0.998863636
0,OWPCN,3,1699,0.001765745,42500,labor,2,195.3491272,0.015037594
0,OWPCN,3,1699,0.001765745,42500,motor,1,195.3491272,0.007518797
0,OWPCN,3,1699,0.001765745,42500,truck,130,195.3491272,0.977443609
0,PO2(24X7),27,1699,0.015891701,39705.88235,labor,10,195.3491272,0.37037037
0,PO2(24X7),27,1699,0.015891701,39705.88235,motor,14,195.3491272,0.518518519
0,PO2(24X7),27,1699,0.015891701,39705.88235,truck,3,195.3491272,0.111111111
0,PO4,12,1699,0.007062978,40000,labor,7,195.3491272,0.583333333
0,PO4,12,1699,0.007062978,40000,motor,5,195.3491272,0.416666667
0,PO4(24X7),564,1699,0.331959976,42672.66187,labor,293,195.3491272,0.519503546
0,PO4(24X7),564,1699,0.331959976,42672.66187,motor,214,195.3491272,0.379432624
0,PO4(24X7),564,1699,0.331959976,42672.66187,truck,57,195.3491272,0.10106383
0,PO4(8X5),12,1699,0.007062978,37777.77778,labor,4,195.3491272,0.333333333
0,PO4(8X5),12,1699,0.007062978,37777.77778,motor,8,195.3491272,0.666666667
0,POW,13,1699,0.00765156,46666.66667,labor,11,195.3491272,0.03038674
0,POW,13,1699,0.00765156,46666.66667,motor,2,195.3491272,0.005524862
0,POW,13,1699,0.00765156,46666.66667,truck,349,195.3491272,0.964088398
0,POWOCN,27,1699,0.015891701,30961.53846,labor,14,195.3491272,0.208955224
0,POWOCN,27,1699,0.015891701,30961.53846,motor,13,195.3491272,0.194029851
0,POWOCN,27,1699,0.015891701,30961.53846,truck,40,195.3491272,0.597014925
0,POWWUD,4,1699,0.002354326,,labor,4,195.3491272,0.010178117
0,POWWUD,4,1699,0.002354326,,truck,389,195.3491272,0.989821883
0,WEWORK,1,1699,0.000588582,,labor,1,195.3491272,1
0,WUD,1,1699,0.000588582,,labor,1,195.3491272,0.25
0,WUD,1,1699,0.000588582,,truck,3,195.3491272,0.75
6,NBD,2,3,0.666666667,,labor,2,195.3491272,0.001136364
6,NBD,2,3,0.666666667,,truck,1758,195.3491272,0.998863636
6,OWCN,1,3,0.333333333,,truck,469,195.3491272,1
7,OWCN,2,2,1,,truck,469,195.3491272,1
8,OWCN,1,1,1,,truck,469,195.3491272,1
9,NBD,1,1,1,,labor,2,195.3491272,0.001136364
9,NBD,1,1,1,,truck,1758,195.3491272,0.998863636
10,CAR,4,8,0.5,,truck,67,195.3491272,1
10,NBD,1,8,0.125,,labor,2,195.3491272,0.001136364
10,NBD,1,8,0.125,,truck,1758,195.3491272,0.998863636
10,OWCN,2,8,0.25,,truck,469,195.3491272,1
10,POWWUD,1,8,0.125,,labor,4,195.3491272,0.010178117
10,POWWUD,1,8,0.125,,truck,389,195.3491272,0.989821883
11,BADXPOWWUD,1,15,0.066666667,,truck,1,195.3491272,1
11,NBD,4,15,0.266666667,,labor,2,195.3491272,0.001136364
11,NBD,4,15,0.266666667,,truck,1758,195.3491272,0.998863636
11,OWCN,1,15,0.066666667,,truck,469,195.3491272,1
11,OWPCN,8,15,0.533333333,42500,labor,2,195.3491272,0.015037594
11,OWPCN,8,15,0.533333333,42500,motor,1,195.3491272,0.007518797
11,OWPCN,8,15,0.533333333,42500,truck,130,195.3491272,0.977443609
11,POW,1,15,0.066666667,46666.66667,labor,11,195.3491272,0.03038674
11,POW,1,15,0.066666667,46666.66667,motor,2,195.3491272,0.005524862
11,POW,1,15,0.066666667,46666.66667,truck,349,195.3491272,0.964088398
12,NBD,2,2,1,,labor,2,195.3491272,0.001136364
12,NBD,2,2,1,,truck,1758,195.3491272,0.998863636
13,CAR,1,57,0.01754386,,truck,67,195.3491272,1
13,INCCNBD,1,57,0.01754386,,truck,61,195.3491272,1
13,MPFRPOW,5,57,0.087719298,,truck,192,195.3491272,1
13,NBD,24,57,0.421052632,,labor,2,195.3491272,0.001136364
13,NBD,24,57,0.421052632,,truck,1758,195.3491272,0.998863636
13,OWCN,5,57,0.087719298,,truck,469,195.3491272,1
13,OWPCN,4,57,0.070175439,42500,labor,2,195.3491272,0.015037594
13,OWPCN,4,57,0.070175439,42500,motor,1,195.3491272,0.007518797
13,OWPCN,4,57,0.070175439,42500,truck,130,195.3491272,0.977443609
13,POW,6,57,0.105263158,46666.66667,labor,11,195.3491272,0.03038674
13,POW,6,57,0.105263158,46666.66667,motor,2,195.3491272,0.005524862
13,POW,6,57,0.105263158,46666.66667,truck,349,195.3491272,0.964088398
13,POWO,1,57,0.01754386,,truck,29,195.3491272,1
13,POWOCN,1,57,0.01754386,30961.53846,labor,14,195.3491272,0.208955224
13,POWOCN,1,57,0.01754386,30961.53846,motor,13,195.3491272,0.194029851
13,POWOCN,1,57,0.01754386,30961.53846,truck,40,195.3491272,0.597014925
13,POWWUD,9,57,0.157894737,,labor,4,195.3491272,0.010178117
13,POWWUD,9,57,0.157894737,,truck,389,195.3491272,0.989821883
14,CAR,4,249,0.016064257,,truck,67,195.3491272,1
14,CUW,1,249,0.004016064,,truck,6,195.3491272,1
14,DSPPOW,1,249,0.004016064,,truck,12,195.3491272,1
14,INCCCAR,1,249,0.004016064,,truck,2,195.3491272,1
14,INCCNBD,3,249,0.012048193,,truck,61,195.3491272,1
14,MPFRPOW,3,249,0.012048193,,truck,192,195.3491272,1
14,NBD,126,249,0.506024096,,labor,2,195.3491272,0.001136364
14,NBD,126,249,0.506024096,,truck,1758,195.3491272,0.998863636
14,OWCN,34,249,0.136546185,,truck,469,195.3491272,1
14,OWPCN,9,249,0.036144578,42500,labor,2,195.3491272,0.015037594
14,OWPCN,9,249,0.036144578,42500,motor,1,195.3491272,0.007518797
14,OWPCN,9,249,0.036144578,42500,truck,130,195.3491272,0.977443609
14,POW,24,249,0.096385542,46666.66667,labor,11,195.3491272,0.03038674
14,POW,24,249,0.096385542,46666.66667,motor,2,195.3491272,0.005524862
14,POW,24,249,0.096385542,46666.66667,truck,349,195.3491272,0.964088398
14,POWO,3,249,0.012048193,,truck,29,195.3491272,1
14,POWOCN,2,249,0.008032129,30961.53846,labor,14,195.3491272,0.208955224
14,POWOCN,2,249,0.008032129,30961.53846,motor,13,195.3491272,0.194029851
14,POWOCN,2,249,0.008032129,30961.53846,truck,40,195.3491272,0.597014925
14,POWWUD,31,249,0.124497992,,labor,4,195.3491272,0.010178117
14,POWWUD,31,249,0.124497992,,truck,389,195.3491272,0.989821883
14,WIS,7,249,0.02811245,,truck,58,195.3491272,1
15,CAR,34,1202,0.02828619,,truck,67,195.3491272,1
15,CUW,1,1202,0.000831947,,truck,6,195.3491272,1
15,DSPPOW,5,1202,0.004159734,,truck,12,195.3491272,1
15,INCCNBD,23,1202,0.019134775,,truck,61,195.3491272,1
15,MPFRPOW,22,1202,0.018302829,,truck,192,195.3491272,1
15,NBD,592,1202,0.492512479,,labor,2,195.3491272,0.001136364
15,NBD,592,1202,0.492512479,,truck,1758,195.3491272,0.998863636
15,OWCN,163,1202,0.135607321,,truck,469,195.3491272,1
15,OWPCN,36,1202,0.029950083,42500,labor,2,195.3491272,0.015037594
15,OWPCN,36,1202,0.029950083,42500,motor,1,195.3491272,0.007518797
15,OWPCN,36,1202,0.029950083,42500,truck,130,195.3491272,0.977443609
15,POW,130,1202,0.108153078,46666.66667,labor,11,195.3491272,0.03038674
15,POW,130,1202,0.108153078,46666.66667,motor,2,195.3491272,0.005524862
15,POW,130,1202,0.108153078,46666.66667,truck,349,195.3491272,0.964088398
15,POWDOSD,3,1202,0.00249584,,truck,3,195.3491272,1
15,POWO,17,1202,0.014143095,,truck,29,195.3491272,1
15,POWOCN,17,1202,0.014143095,30961.53846,labor,14,195.3491272,0.208955224
15,POWOCN,17,1202,0.014143095,30961.53846,motor,13,195.3491272,0.194029851
15,POWOCN,17,1202,0.014143095,30961.53846,truck,40,195.3491272,0.597014925
15,POWOCN(P),2,1202,0.001663894,,truck,6,195.3491272,1
15,POWWUD,143,1202,0.118968386,,labor,4,195.3491272,0.010178117
15,POWWUD,143,1202,0.118968386,,truck,389,195.3491272,0.989821883
15,WIS,12,1202,0.009983361,,truck,58,195.3491272,1
15,WUD,2,1202,0.001663894,,labor,1,195.3491272,0.25
15,WUD,2,1202,0.001663894,,truck,3,195.3491272,0.75
16,CAR,7,822,0.008515815,,truck,67,195.3491272,1
16,CUW,1,822,0.001216545,,truck,6,195.3491272,1
16,DSPPOW,5,822,0.006082725,,truck,12,195.3491272,1
16,INCCCAR,1,822,0.001216545,,truck,2,195.3491272,1
16,INCCNBD,14,822,0.01703163,,truck,61,195.3491272,1
16,INCCPOW,2,822,0.00243309,,truck,2,195.3491272,1
16,MPFRPOW,22,822,0.02676399,,truck,192,195.3491272,1
16,NBD,407,822,0.49513382,,labor,2,195.3491272,0.001136364
16,NBD,407,822,0.49513382,,truck,1758,195.3491272,0.998863636
16,OWCN,74,822,0.090024331,,truck,469,195.3491272,1
16,OWPCN,41,822,0.049878345,42500,labor,2,195.3491272,0.015037594
16,OWPCN,41,822,0.049878345,42500,motor,1,195.3491272,0.007518797
16,OWPCN,41,822,0.049878345,42500,truck,130,195.3491272,0.977443609
16,PFRPOW,6,822,0.00729927,,truck,7,195.3491272,1
16,POW,91,822,0.110705596,46666.66667,labor,11,195.3491272,0.03038674
16,POW,91,822,0.110705596,46666.66667,motor,2,195.3491272,0.005524862
16,POW,91,822,0.110705596,46666.66667,truck,349,195.3491272,0.964088398
16,POWO,5,822,0.006082725,,truck,29,195.3491272,1
16,POWOCN,9,822,0.010948905,30961.53846,labor,14,195.3491272,0.208955224
16,POWOCN,9,822,0.010948905,30961.53846,motor,13,195.3491272,0.194029851
16,POWOCN,9,822,0.010948905,30961.53846,truck,40,195.3491272,0.597014925
16,POWOCN(P),4,822,0.00486618,,truck,6,195.3491272,1
16,POWWUD,125,822,0.152068127,,labor,4,195.3491272,0.010178117
16,POWWUD,125,822,0.152068127,,truck,389,195.3491272,0.989821883
16,WIS,8,822,0.00973236,,truck,58,195.3491272,1
17,CAR,15,1174,0.012776831,,truck,67,195.3491272,1
17,CUW,3,1174,0.002555366,,truck,6,195.3491272,1
17,DSPPOW,1,1174,0.000851789,,truck,12,195.3491272,1
17,INCCNBD,18,1174,0.015332198,,truck,61,195.3491272,1
17,MPFRPOW,137,1174,0.11669506,,truck,192,195.3491272,1
17,NBD,582,1174,0.495741056,,labor,2,195.3491272,0.001136364
17,NBD,582,1174,0.495741056,,truck,1758,195.3491272,0.998863636
17,OWCN,172,1174,0.146507666,,truck,469,195.3491272,1
17,OWPCN,28,1174,0.023850085,42500,labor,2,195.3491272,0.015037594
17,OWPCN,28,1174,0.023850085,42500,motor,1,195.3491272,0.007518797
17,OWPCN,28,1174,0.023850085,42500,truck,130,195.3491272,0.977443609
17,PFRNBD,4,1174,0.003407155,,truck,4,195.3491272,1
17,POW,89,1174,0.075809199,46666.66667,labor,11,195.3491272,0.03038674
17,POW,89,1174,0.075809199,46666.66667,motor,2,195.3491272,0.005524862
17,POW,89,1174,0.075809199,46666.66667,truck,349,195.3491272,0.964088398
17,POWO,3,1174,0.002555366,,truck,29,195.3491272,1
17,POWOCN,11,1174,0.009369676,30961.53846,labor,14,195.3491272,0.208955224
17,POWOCN,11,1174,0.009369676,30961.53846,motor,13,195.3491272,0.194029851
17,POWOCN,11,1174,0.009369676,30961.53846,truck,40,195.3491272,0.597014925
17,POWWUD,79,1174,0.067291312,,labor,4,195.3491272,0.010178117
17,POWWUD,79,1174,0.067291312,,truck,389,195.3491272,0.989821883
17,WIS,31,1174,0.026405451,,truck,58,195.3491272,1
17,WUD,1,1174,0.000851789,,labor,1,195.3491272,0.25
17,WUD,1,1174,0.000851789,,truck,3,195.3491272,0.75
18,CAR,2,52,0.038461538,,truck,67,195.3491272,1
18,INCCNBD,2,52,0.038461538,,truck,61,195.3491272,1
18,MPFRPOW,3,52,0.057692308,,truck,192,195.3491272,1
18,NBD,17,52,0.326923077,,labor,2,195.3491272,0.001136364
18,NBD,17,52,0.326923077,,truck,1758,195.3491272,0.998863636
18,OWCN,14,52,0.269230769,,truck,469,195.3491272,1
18,OWPCN,4,52,0.076923077,42500,labor,2,195.3491272,0.015037594
18,OWPCN,4,52,0.076923077,42500,motor,1,195.3491272,0.007518797
18,OWPCN,4,52,0.076923077,42500,truck,130,195.3491272,0.977443609
18,PFRPOW,1,52,0.019230769,,truck,7,195.3491272,1
18,POW,8,52,0.153846154,46666.66667,labor,11,195.3491272,0.03038674
18,POW,8,52,0.153846154,46666.66667,motor,2,195.3491272,0.005524862
18,POW,8,52,0.153846154,46666.66667,truck,349,195.3491272,0.964088398
18,POWWUD,1,52,0.019230769,,labor,4,195.3491272,0.010178117
18,POWWUD,1,52,0.019230769,,truck,389,195.3491272,0.989821883
