OrderHour,City,total_orders,avg_cost
0,City_0,1,250000.0
0,City_1,39,47962.96296296296
0,City_10,19,25000.0
0,City_100,2,30000.0
0,City_101,7,30000.0
0,City_102,4,25000.0
0,City_103,1,250000.0
0,City_104,1,40000.0
0,City_105,6,46666.666666666664
0,City_106,3,22500.0
0,City_107,6,26666.666666666668
0,City_108,1,35000.0
0,City_109,2,45000.0
0,City_11,29,30961.53846153846
0,City_110,18,37916.666666666664
0,City_111,15,39444.444444444445
0,City_112,1,40000.0
0,City_113,2,35000.0
0,City_114,1,25000.0
0,City_115,6,84000.0
0,City_116,2,15000.0
0,City_117,8,51666.666666666664
0,City_118,2,90000.0
0,City_119,1,45000.0
0,City_12,1,260000.0
0,City_120,1,40000.0
0,City_121,1,150000.0
0,City_122,1,50000.0
0,City_123,5,35000.0
0,City_124,1,25000.0
0,City_125,7,33750.0
0,City_126,1,30000.0
0,City_127,3,30000.0
0,City_128,1,30000.0
0,City_129,3,40000.0
0,City_13,79,24062.5
0,City_130,1,35000.0
0,City_131,1,30000.0
0,City_132,12,28333.333333333332
0,City_133,2,25000.0
0,City_134,1,220000.0
0,City_135,5,25000.0
0,City_136,3,37500.0
0,City_137,1,40000.0
0,City_138,2,60000.0
0,City_139,4,132500.0
0,City_14,1,40000.0
0,City_140,1,40000.0
0,City_141,3,37500.0
0,City_142,1,30000.0
0,City_143,1,25000.0
0,City_144,2,35000.0
0,City_145,1,80000.0
0,City_146,5,30000.0
0,City_147,2,140000.0
0,City_148,1,20000.0
0,City_149,1,80000.0
0,City_15,13,33333.333333333336
0,City_150,1,30000.0
0,City_151,1,25000.0
0,City_152,6,45000.0
0,City_153,1,40000.0
0,City_154,1,30000.0
0,City_155,2,75000.0
0,City_156,4,40000.0
0,City_157,2,85000.0
0,City_158,1,30000.0
0,City_159,3,60000.0
0,City_16,1,25000.0
0,City_160,1,180000.0
0,City_161,1,190000.0
0,City_162,1,60000.0
0,City_163,2,35000.0
0,City_164,1,35000.0
0,City_165,3,35000.0
0,City_166,8,26666.666666666668
0,City_167,1,250000.0
0,City_168,4,30000.0
0,City_169,1,30000.0
0,City_17,1,60000.0
0,City_170,13,32500.0
0,City_171,1,60000.0
0,City_172,1,180000.0
0,City_173,1,80000.0
0,City_174,5,120000.0
0,City_175,1,25000.0
0,City_176,1,45000.0
0,City_177,1,25000.0
0,City_178,1,200000.0
0,City_179,1,140000.0
0,City_18,26,32409.090909090908
0,City_180,1,25000.0
0,City_181,5,27500.0
0,City_182,2,290000.0
0,City_183,1,260000.0
0,City_184,28,220000.0
0,City_185,1,25000.0
0,City_186,1,60000.0
0,City_187,4,60000.0
0,City_188,1,40000.0
0,City_189,1,26000.0
0,City_19,21,48461.53846153846
0,City_190,3,69000.0
0,City_191,1,40000.0
0,City_192,3,40000.0
0,City_193,1,30000.0
0,City_194,1,25000.0
0,City_195,1,30000.0
0,City_196,1,40000.0
0,City_197,1,25000.0
0,City_198,2,35000.0
0,City_199,1,40000.0
0,City_2,5,140000.0
0,City_20,71,34864.86486486487
0,City_200,1,50000.0
0,City_201,3,25000.0
0,City_202,3,15000.0
0,City_203,2,20000.0
0,City_204,1,25000.0
0,City_205,2,40000.0
0,City_206,1,25000.0
0,City_207,6,250000.0
0,City_208,1,140000.0
0,City_209,1,120000.0
0,City_21,3,50000.0
0,City_210,2,22500.0
0,City_211,1,25000.0
0,City_212,2,50000.0
0,City_213,11,133333.33333333334
0,City_214,1,35000.0
0,City_215,1,100000.0
0,City_216,9,17500.0
0,City_217,3,42500.0
0,City_218,1,120000.0
0,City_219,2,45000.0
0,City_22,2,32500.0
0,City_220,1,260000.0
0,City_221,3,40000.0
0,City_222,3,40000.0
0,City_223,1,60000.0
0,City_224,1,40000.0
0,City_225,2,27500.0
0,City_226,3,20000.0
0,City_227,1,45000.0
0,City_228,1,25000.0
0,City_229,10,20000.0
0,City_23,2,140000.0
0,City_230,15,48750.0
0,City_231,2,60000.0
0,City_232,3,70000.0
0,City_233,4,50000.0
0,City_234,2,19000.0
0,City_235,4,40000.0
0,City_236,2,20000.0
0,City_237,3,200000.0
0,City_238,1,35000.0
0,City_239,1,20000.0
0,City_24,4,50000.0
0,City_240,1,20000.0
0,City_241,1,25000.0
0,City_242,1,25000.0
0,City_243,1,30000.0
0,City_244,1,25000.0
0,City_245,1,25000.0
0,City_246,1,160000.0
0,City_247,9,15000.0
0,City_248,5,55000.0
0,City_249,1,25000.0
0,City_25,19,52727.27272727273
0,City_250,3,25000.0
0,City_251,1,40000.0
0,City_252,3,50000.0
0,City_253,1,60000.0
0,City_254,1,260000.0
0,City_255,1,50000.0
0,City_256,1,60000.0
0,City_257,1,25000.0
0,City_258,1,35000.0
0,City_259,1,20000.0
0,City_26,12,28125.0
0,City_260,1,55000.0
0,City_261,2,140000.0
0,City_262,3,140000.0
0,City_263,1,200000.0
0,City_264,1,150000.0
0,City_265,1,25000.0
0,City_266,2,50000.0
0,City_267,2,20000.0
0,City_268,3,25000.0
0,City_269,1,140000.0
0,City_27,36,21875.0
0,City_270,3,30000.0
0,City_271,1,55000.0
0,City_272,2,260000.0
0,City_273,1,55000.0
0,City_274,1,240000.0
0,City_275,2,70000.0
0,City_276,2,70000.0
0,City_277,1,30000.0
0,City_278,2,220000.0
0,City_279,2,30000.0
0,City_28,1,30000.0
0,City_280,2,40000.0
0,City_281,2,50000.0
0,City_282,1,80000.0
0,City_283,1,55000.0
0,City_284,1,35000.0
0,City_285,1,
0,City_286,2,
0,City_287,2,
0,City_288,7,
0,City_289,1,
0,City_29,15,48125.0
0,City_290,1,
0,City_291,1,
0,City_292,2,
0,City_293,1,
0,City_294,1,
0,City_295,1,
0,City_296,2,
0,City_297,1,
0,City_298,2,
0,City_299,1,
0,City_3,35,27250.0
0,City_30,1,260000.0
0,City_300,1,
0,City_301,1,
0,City_302,1,
0,City_303,1,
0,City_304,1,
0,City_305,1,
0,City_306,1,
0,City_307,1,
0,City_308,1,
0,City_309,1,
0,City_31,1,50000.0
0,City_310,4,
0,City_311,3,
0,City_312,1,
0,City_313,2,
0,City_314,1,
0,City_315,2,
0,City_316,1,
0,City_317,2,
0,City_318,1,
0,City_319,1,
0,City_32,2,30000.0
0,City_320,2,
0,City_321,1,
0,City_322,1,
0,City_323,1,
0,City_324,2,
0,City_325,1,
0,City_326,1,
0,City_327,2,
0,City_328,1,
0,City_329,1,
0,City_33,1,55000.0
0,City_330,1,
0,City_331,1,
0,City_332,1,
0,City_333,2,
0,City_334,2,
0,City_335,1,
0,City_336,1,
0,City_337,1,
0,City_338,2,
0,City_339,1,
0,City_34,2,85000.0
0,City_340,1,
0,City_341,1,
0,City_342,1,
0,City_343,1,
0,City_344,2,
0,City_345,7,
0,City_346,1,
0,City_347,1,
0,City_348,2,
0,City_349,1,
0,City_35,14,86363.63636363637
0,City_350,1,
0,City_351,1,
0,City_352,1,
0,City_353,1,
0,City_354,1,
0,City_355,1,
0,City_356,1,
0,City_357,1,
0,City_358,5,
0,City_359,2,
0,City_36,15,50000.0
0,City_360,2,
0,City_361,1,
0,City_362,1,
0,City_363,1,
0,City_364,4,
0,City_365,2,
0,City_366,1,
0,City_367,1,
0,City_368,1,
0,City_369,2,
0,City_37,21,31538.46153846154
0,City_370,1,
0,City_371,3,
0,City_372,2,
0,City_373,1,
0,City_374,3,
0,City_375,1,
0,City_376,1,
0,City_377,1,
0,City_378,2,
0,City_379,1,
0,City_38,7,23750.0
0,City_380,1,
0,City_381,1,
0,City_382,1,
0,City_383,1,
0,City_384,1,
0,City_385,1,
0,City_386,4,
0,City_387,1,
0,City_388,1,
0,City_389,1,
0,City_39,3,36666.666666666664
0,City_390,1,
0,City_391,1,
0,City_392,1,
0,City_393,1,
0,City_394,1,
0,City_395,1,
0,City_396,1,
0,City_397,1,
0,City_398,1,
0,City_399,1,
0,City_4,1,70000.0
0,City_40,5,25750.0
0,City_400,3,
0,City_401,1,
0,City_402,1,
0,City_403,1,
0,City_404,1,
0,City_405,1,
0,City_406,1,
0,City_407,1,
0,City_408,1,
0,City_409,1,
0,City_41,2,50000.0
0,City_410,1,
0,City_411,1,
0,City_412,1,
0,City_413,2,
0,City_415,1,
0,City_416,1,
0,City_417,2,
0,City_418,1,
0,City_419,1,
0,City_42,3,220000.0
0,City_420,2,
0,City_421,1,
0,City_422,1,
0,City_423,1,
0,City_424,1,
0,City_425,1,
0,City_426,1624,
0,City_43,1,35000.0
0,City_44,1,25000.0
0,City_45,27,47608.69565217391
0,City_46,1,25000.0
0,City_47,34,70000.0
0,City_48,6,37500.0
0,City_49,27,20750.0
0,City_5,22,16666.666666666668
0,City_50,1,40000.0
0,City_51,4,38125.0
0,City_52,1,45000.0
0,City_53,8,35000.0
0,City_54,1,25000.0
0,City_55,8,44166.666666666664
0,City_56,3,25000.0
0,City_57,1,60000.0
0,City_58,2,60000.0
0,City_59,1,120000.0
0,City_6,7,150000.0
0,City_60,30,38571.42857142857
0,City_61,6,42500.0
0,City_62,1,40000.0
0,City_63,9,34000.0
0,City_64,1,40000.0
0,City_65,1,60000.0
0,City_66,7,25000.0
0,City_67,15,33333.333333333336
0,City_68,4,31666.666666666668
0,City_69,4,52500.0
0,City_7,4,25000.0
0,City_70,6,171250.0
0,City_71,16,27000.0
0,City_72,10,52857.142857142855
0,City_73,34,33166.666666666664
0,City_74,2,260000.0
0,City_75,2,60000.0
0,City_76,8,38571.42857142857
0,City_77,15,40833.333333333336
0,City_78,5,50000.0
0,City_79,13,23125.0
0,City_8,82,47884.61538461538
0,City_80,1,55000.0
0,City_81,3,37500.0
0,City_82,12,45000.0
0,City_83,2,40000.0
0,City_84,10,45000.0
0,City_85,2,70000.0
0,City_86,2,140000.0
0,City_87,1,35000.0
0,City_88,6,65000.0
0,City_89,3,60000.0
0,City_9,3,26666.666666666668
0,City_90,4,25000.0
0,City_91,4,21250.0
0,City_92,4,63333.333333333336
0,City_93,3,20000.0
0,City_94,1,100000.0
0,City_95,2,15000.0
0,City_96,1,260000.0
0,City_97,1,60000.0
0,City_98,2,30000.0
0,City_99,1,35000.0
6,City_414,3,
7,City_414,2,
8,City_414,1,
9,City_414,1,
10,City_414,8,
11,City_414,15,
12,City_414,2,
13,City_414,57,
14,City_414,249,
15,City_414,1202,
16,City_414,822,
17,City_414,1174,
18,City_414,52,
