index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,자동차전용제외,최단경로,최단경로_타입,최장경로,최장경로_타입,,,Distance,BilledDistance
0,1000,서울특별시 강북구 삼양로181길 132,63.55,63.89,37.52,37.52,38.45,37.52,최적경로,63.89,편한길,38,64,57,57
1,1001,서울특별시 강북구 삼양로170길 62,36.7,37.37,36.7,36.7,37.63,36.7,실시간빠른길,37.63,자동차전용제외,37,38,42,42
2,1002,서울특별시 강북구 도선사길 93,38.31,64.65,38.31,38.31,39.24,38.31,실시간빠른길,64.65,편한길,39,65,58,58
3,1003,서울특별시 강북구 삼양로155나길 7,36.34,39.47,36.34,36.34,37.27,36.34,실시간빠른길,39.47,편한길,37,40,43,43
4,1004,서울특별시 강북구 삼양로169길 5,36.5,39.62,36.5,36.5,37.43,36.5,실시간빠른길,39.62,편한길,37,40,43,43
5,1005,서울특별시 강북구 삼양로 601,36.02,39.15,36.02,36.02,36.95,36.02,실시간빠른길,39.15,편한길,37,40,43,43
6,1006,서울특별시 강북구 삼양로149길 62,35.95,36.62,35.95,35.95,36.88,35.95,실시간빠른길,36.88,자동차전용제외,36,37,41,41
7,1007,서울특별시 강북구 삼양로149가길 5,35.82,38.6,35.82,35.82,36.75,35.82,실시간빠른길,38.6,편한길,36,39,42,42
8,1008,서울특별시 강북구 삼양로139가길 80,35.97,38.74,35.97,35.97,36.9,35.97,실시간빠른길,38.74,편한길,36,39,42,42
9,1009,서울특별시 강북구 삼양로139길 58,34.86,37.91,34.86,34.86,35.79,34.86,실시간빠른길,37.91,편한길,35,38,41,41
10,1010,서울특별시 강북구 삼양로139나길 23,34.89,37.94,34.89,34.89,35.82,34.89,실시간빠른길,37.94,편한길,35,38,41,41
11,1011,서울특별시 강북구 삼양로139길 27,34.95,37.92,34.95,34.95,35.88,34.95,실시간빠른길,37.92,편한길,35,38,41,41
12,1012,서울특별시 강북구 4.19로12길 14,34.96,36.34,34.96,34.96,35.89,34.96,실시간빠른길,36.34,편한길,35,37,40,40
13,1013,서울특별시 강북구 4.19로30길 18,35.62,37,35.62,35.62,36.55,35.62,실시간빠른길,37,편한길,36,37,41,41
14,1014,서울특별시 강북구 인수봉로81길 5,34.49,36.24,34.49,34.49,35.42,34.49,실시간빠른길,36.24,편한길,35,37,40,40
15,1015,서울특별시 강북구 인수봉로75길 48,34.42,34.42,34.42,34.42,35.35,34.42,실시간빠른길,35.35,자동차전용제외,35,36,40,40
16,1016,서울특별시 강북구 4.19로17길 52,34.74,34.74,34.74,34.74,33.67,33.67,자동차전용제외,34.74,실시간빠른길,34,35,38,38
,,,,,,,,,,,,,,,
,,,,,,,2번째로 높은 값을 가져와 실 Distance /  1.1 Billed Distance,,,,,,,,
